label,buy_age,start_mileage,most_recently_amount,year_station_costmoney,industry,sr_area,sales_city_lvname,month_income,marital_status,is_insaic_insur,system,cust_sex
1,41.3,878,3420.9,3420.9,,,一线城市,6000－9999元,已婚,否,ios,1
1,37.5,18280,5423.0,0.0,,售后咨询,三线城市,10000－14999元,已婚,否,,1
1,33.1,76573,6266.54,0.0,,,四线城市,25000－29999元,已婚,否,,1
1,25.2,4842,230.0,521.0,,售后咨询,三线城市,2万-5万元,未婚,否,,1
1,26.5,0,33.0,33.0,,质量维修,一线城市,,,否,,1
1,31.2,0,1435.0,0.0,,,二线城市,,,是,,1
1,29.3,0,108.0,108.0,,售后咨询,一线城市,,,否,,1
1,27.8,25123,279.0,0.0,,,二线城市,6000－9999元,已婚,否,,1
1,18.7,0,1154.0,3335.0,,,四线城市,3000－5999元,已婚,否,android,1
1,25.3,19017,100.0,100.0,,售后咨询,二线城市,3000－5999元,已婚,否,,1
1,59.4,0,464.4,3091.4,,,一线城市,6000－9999元,已婚,是,,1
1,42.3,0,39.0,39.0,,,二线城市,10000－14999元,已婚,是,,1
1,30.3,41208,650.0,968.0,,,二线城市,6000－9999元,已婚,是,,0
1,31.7,28361,1404.0,2711.0,,,三线城市,3000－5999元,已婚,否,,1
1,41.4,0,500.0,0.0,,,五线城市,3000－5999元,已婚,否,,1
